song,artist,genres
Watching Me,Killa Kyleon,"['dirty south rap', 'houston rap']"
I'll Get Mine Too,Outlander,['doomgaze']
I'm Melting,Serpentfoot,['denver indie']
~~,FESTIVE,['j-pop girl group']
Through the East Gate,Andy Leftwich,['mandolin']
One Hundred (feat HIGH HPS),Roland Tings,['aussietronica']
X2,Sirius,['armenian hip hop']
Spiritual Practice,Zen,['zen']
Seasons,DyMe-A-DuZiN,['nyc rap']
Woodlant Ambience,Mindfulness Meditation Guru,['mindfulness']
Stables - Live,Conspirare,"['american choir', 'choral', 'contemporary choir']"
Sweet Friend,Babylawns,"['new england emo', 'new hampshire indie']"
F My X,Freeza Boy,['arkansas hip hop']
Retaliation (feat Mozzy & E Mozzy),Lil Blood,"['cali rap', 'oakland hip hop']"
Himinn,TRPTYCH,['icelandic electronic']
Cherries and Blueberries,Mary Jane Junkeez,['san diego rap']
The Problem (Lies in My Son and Wife),Hot Dad,['ann arbor indie']
We Is Big People,Spectrum Band,['virgin islands reggae']
I'm Alright,The Scouts,['lancaster pa indie']
Who Do You Love - Live at the Triple Rock,the 4onthefloor,['minneapolis indie']
James Bond,Iggy Pop,"['alternative rock', 'glam rock', 'permanent wave', 'protopunk', 'rock']"
Devil's Eyes (feat Bryan Long),The Devil Himself,['downtempo deathcore']
"Adagio for Strings, Op 11",Boston Symphony Orchestra,"['american orchestra', 'orchestra']"
Off Top,Big Von,['west coast trap']
But Cha (feat Josh Golden),KYLE,"['deep underground hip hop', 'indie pop rap', 'meme rap', 'pop rap', 'viral trap']"
Vinyl Viernes,Veronique Medrano,['new tejano']
Sleigh Ride,Idina Menzel,"['hollywood', 'movie tunes', 'show tunes']"
Drowning In the Thought of You,DM Galaxy,['gaming edm']
We Need a Little Christmas,Indianapolis Children's Choir,['american choir']
Leave the Light On,Sean McConnell,['folk-pop']
Concerto I Allegro Moderato,Richard Stoelzel,['classical trumpet']
Good Night Sleep,Mindfullness Meditation World,['mindfulness']
El Guayaboso (Live),Mansfield University Concert Choir,"['american choir', 'university choir']"
In the Springtime (Hannah's Song),Luke Metzler,['rochester ny indie']
New York,Amanda Anne Platt & the Honeycutters,"['asheville indie', 'southern americana']"
U Got It,Goodbye Honolulu,['toronto indie']
Deep Meditation,Guided Meditation Music Zone,['meditation']
Facts And Lies,Jon Stork,"['classic texas country', 'red dirt', 'texas country']"
Tracing Paper,Spa & Spa,['sleep']
People On The High Line - Hybrid Remix,New Order,"['alternative rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'permanent wave', 'post-punk', 'synthpop', 'uk post-punk']"
Play With Me,Bandingo YGNE,['meme rap']
3000 Shots Until I Can Be Without You,Sleepy Dog,['midwest emo']
The Lament - Live at Sdra Teatern,Tribulation,['swedish metal']
Everywhere I Go (feat Kool John),William Genaro,['oakland hip hop']
The Forest Didn't Used to Be Here,OSC,['synthwave']
U Kapi Tvoje Ljubavi,Marko Kutli,['croatian pop']
Menu 1,OSRSBeatz,['pixel']
He Can Save the World,Nathan + Rachel,['apostolic worship']
Hurricane,Jake Bush,"['classic texas country', 'red dirt']"
Butterflies,JuanHunnit,['dmv rap']
Inside Ya,Chris Blue,['deep talent show']
Wisdom Dub,The Revolutionaries,"['dub', 'reggae', 'roots reggae']"
World Renown - Instrumental,Mr Lif,"['abstract hip hop', 'alternative hip hop', 'boston hip hop', 'conscious hip hop', 'east coast hip hop']"
Di Que No Me Dejaras,Diamantes Azules,"['deep norteno', 'musica potosina']"
you're with me,Nafeesisboujee,['bedroom r&b']
Bustling Modern City,City Sounds for Sleeping,['sound']
Murda,PlayboyXO,['bounce']
Cyber Trip,Sergey Zubarev,['epicore']
badcharlotte,Mourning Run,['chill abstract hip hop']
Limehouse Blues,The Georgia Washboard Stompers,['washboard']
Kill That Shout,Sporting Life,['fluxwork']
Soothing White Noise Thunderstorm,Thunderstorm Sound Bank,"['environmental', 'water']"
Saltwater Gypsy,Aubrey Wollett,['trop rock']
Mr Krabs,Belushi Speed Ball,['kentucky metal']
Lost in Translation Le Tour Du Monde #9 Tokyo,Lucas Mayer,['indie paraense']
Why You Stressn feat Yung Fam,Lil Koo,['texas latin rap']
Jeka,Razni Izvoai,['starogradska']
Escrito VIII,Andrea Cruz,['puerto rican indie']
Feeling Good,Yoga Nidra,['yoga']
Pay Me (feat Mike Sherm & PT Mulah),Shawn Rude,['san diego rap']
Mike Amiri (feat Icewear Vezzo & BandGang Lonnie Bands),Drego,"['detroit hip hop', 'detroit trap']"
stone bomb,Total Fucking Destruction,['grindcore']
John Doe,LBS Kee'vin,['florida rap']
JUDGEMENT - Full Version,spirental,['pixel']
Before I Sleep,Abbie Strauss,['judaica']
Reeling,The Patti Fiasco,"['wyoming indie', 'wyoming roots']"
Hold On Tight - Tommy Jayden Remix,R3HAB,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']"
Zoned (Intro Shit),Regional Overlord Sterling Silver,['meme rap']
Blind Faith,Nappy Roots,['dirty south rap']
Last Christmas,Midnite String Quartet,['bow pop']
Mother Night,A Sense of Purpose,"['american metalcore', 'metalcore']"
Up Now - Chopped & Screwed,Big Jade,['trap queen']
Walk Home,Leah Blevins,['kentucky roots']
